Timestamp,EngineCoolantTemp,EngineRPM,VehicleSpeed,ThrottlePosition
0.0,224.6 degC,5284.0 rpm,241.0 km/h,70.19 %
0.33,134.6 degC,2327.5 rpm,6.0 km/h,70.19 %
0.66,66.6 degC,1984.75 rpm,9.0 km/h,36.47 %
1.0,149.6 degC,1219.25 rpm,28.0 km/h,12.54 %
1.33,63.6 degC,1170.25 rpm,158.0 km/h,67.84 %
1.66,67.6 degC,6897.0 rpm,50.0 km/h,96.47 %
1.99,224.6 degC,11314.5 rpm,185.0 km/h,17.25 %
2.33,152.6 degC,11450.5 rpm,83.0 km/h,74.9 %
2.66,44.6 degC,8443.75 rpm,97.0 km/h,38.03 %
3.0,156.6 degC,7353.5 rpm,132.0 km/h,0.78 %
3.33,43.6 degC,1159.5 rpm,158.0 km/h,83.13 %
3.66,88.6 degC,3208.5 rpm,207.0 km/h,28.23 %
4.0,229.6 degC,14704.0 rpm,120.0 km/h,5.49 %
4.33,211.6 degC,7873.25 rpm,59.0 km/h,9.41 %
4.66,99.6 degC,8527.5 rpm,248.0 km/h,58.82 %
4.99,21.6 degC,13629.75 rpm,208.0 km/h,98.04 %
