Timestamp,05,0C,0D,11
0.0,41 05 29,41 0C E1 6C,41 0D 52,41 11 F1
0.33,41 05 B3,41 0C 87 0C,41 0D 24,41 11 06
0.66,41 05 B3,41 0C 43 BB,41 0D 1F,41 11 09
1.0,41 05 5D,41 0C 96 F5,41 0D 13,41 11 1C
1.33,41 05 20,41 0C 40 78,41 0D 12,41 11 9E
1.66,41 05 AD,41 0C 44 40,41 0D 6B,41 11 32
1.99,41 05 F6,41 0C E1 8B,41 0D B0,41 11 B9
2.33,41 05 2C,41 0C 99 D5,41 0D B2,41 11 53
2.66,41 05 BF,41 0C 2D DC,41 0D 83,41 11 61
3.0,41 05 61,41 0C 9D 9C,41 0D 72,41 11 84
3.33,41 05 02,41 0C 2C 53,41 0D 12,41 11 9E
3.66,41 05 D4,41 0C 59 7E,41 0D 32,41 11 CF
4.0,41 05 48,41 0C E6 D9,41 0D E5,41 11 78
4.33,41 05 0E,41 0C D4 61,41 0D 7B,41 11 3B
4.66,41 05 18,41 0C 64 54,41 0D 85,41 11 F8
4.99,41 05 96,41 0C 16 2F,41 0D D4,41 11 D0
